AGS;Gemeinde;STT;STADTTEIL;STADTVIERTEL ;Stand_Einwohner;EINW_HW_GESAMT;EINW_HW_FRAUEN;EINW_HW_DEUTSCH;EINW_HW_AUSLAENDER;EINW_HW_unter18;EINW_HW_18_bis_unter_30;EINW_HW_30_bis_unter_40;EINW_HW_40_bis_unter_50;EINW_HW_50_bis_unter_60;EINW_HW_60_und_älter;Haushalte
08335043;Konstanz;010;Altstadt;0101;31.12.2016;1.297;661;1.046;251;125;433;220;174;143;202;863
08335043;Konstanz;010;Altstadt;0102;31.12.2016;1.690;831;1.371;319;233;409;286;214;209;339;1.049
08335043;Konstanz;010;Altstadt;0103;31.12.2016;2.896;1.495;2.556;340;436;606;447;364;399;644;1.686
08335043;Konstanz;010;Altstadt;0104;31.12.2016;2.121;1.170;1.938;183;307;413;276;288;310;527;1.273
08335043;Konstanz;010;Altstadt;0105;31.12.2016;1.316;703;1.198;118;196;331;236;168;181;204;778
08335043;Konstanz;010;Altstadt;0106;31.12.2016;1.178;589;988;190;92;372;218;132;140;224;812
08335043;Konstanz;010;Altstadt;0107;31.12.2016;1.452;759;1.208;244;154;381;245;168;149;355;971
08335043;Konstanz;020;Paradies;0201;31.12.2016;2.816;1.529;2.529;287;371;498;379;363;427;778;1.674
08335043;Konstanz;020;Paradies;0202;31.12.2016;1.592;899;1.407;185;189;276;227;201;202;497;1.004
08335043;Konstanz;020;Paradies;0203;31.12.2016;1.100;437;725;375;7;1.039;41;11;1;1;692
08335043;Konstanz;020;Paradies;0204;31.12.2016;608;320;585;23;105;104;53;99;114;133;320
08335043;Konstanz;030;Petershausen-West;0301;31.12.2016;972;509;763;209;143;254;145;123;111;196;600
08335043;Konstanz;030;Petershausen-West;0302;31.12.2016;1.712;863;1.223;489;286;473;254;178;208;313;873
08335043;Konstanz;030;Petershausen-West;0303;31.12.2016;5.952;3.068;4.861;1.091;781;1.956;998;666;645;906;3.403
08335043;Konstanz;030;Petershausen-West;0304;31.12.2016;3.215;1.605;2.455;760;310;1.131;451;327;374;622;2.071
08335043;Konstanz;030;Petershausen-West;0305;31.12.2016;1.702;895;1.472;230;249;384;187;209;275;398;954
08335043;Konstanz;030;Petershausen-West;0306;31.12.2016;1.999;1.052;1.729;270;214;663;272;205;259;386;1.193
08335043;Konstanz;035;Petershausen-Ost;0351;31.12.2016;2.073;1.134;1.668;405;283;550;274;217;250;499;1.197
08335043;Konstanz;035;Petershausen-Ost;0352;31.12.2016;1.362;772;1.255;107;191;205;150;149;174;493;753
08335043;Konstanz;035;Petershausen-Ost;0353;31.12.2016;1.246;660;1.135;111;166;202;141;141;204;392;731
08335043;Konstanz;035;Petershausen-Ost;0354;31.12.2016;1.122;645;1.045;77;132;67;71;116;111;625;618
08335043;Konstanz;035;Petershausen-Ost;0355;31.12.2016;1.353;696;1.267;86;211;268;119;188;189;378;725
08335043;Konstanz;040;Königsbau;0401;31.12.2016;1.134;593;1.019;115;129;319;98;128;162;298;663
08335043;Konstanz;040;Königsbau;0402;31.12.2016;1.609;869;1.256;353;383;265;209;220;232;300;752
08335043;Konstanz;040;Königsbau;0403;31.12.2016;2.494;1.254;1.884;610;307;1.253;251;168;167;348;1.320
08335043;Konstanz;040;Königsbau;0404;31.12.2016;909;477;814;95;147;197;104;110;132;219;478
08335043;Konstanz;505;Allmannsdorf;0501;31.12.2016;1.659;885;1.529;130;250;282;127;197;275;528;890
08335043;Konstanz;050;Allmannsdorf;0502;31.12.2016;1.357;734;1.208;149;197;307;156;173;181;343;755
08335043;Konstanz;050;Allmannsdorf;0503;31.12.2016;2.289;1.211;2.066;223;284;559;251;232;365;598;1.320
08335043;Konstanz;060;Staad;0601;31.12.2016;1.018;539;938;80;131;135;88;136;161;367;581
08335043;Konstanz;060;Staad;0602;31.12.2016;789;411;719;70;125;111;82;111;97;263;424
08335043;Konstanz;070;Fürstenberg;0701;31.12.2016;4.381;2.280;3.514;867;586;1.399;522;459;542;873;2.541
08335043;Konstanz;070;Fürstenberg;0702;31.12.2016;3.164;1.630;2.773;391;366;724;361;328;455;930;1.820
08335043;Konstanz;070;Fürstenberg;0703;31.12.2016;2.064;1.082;1.818;246;318;382;239;234;284;607;1.090
08335043;Konstanz;070;Fürstenberg;0704;31.12.2016;2.624;1.371;2.024;600;331;671;336;308;351;627;1.553
08335043;Konstanz;080;Wollmatingen;0801;31.12.2016;2.682;1.408;2.247;435;561;469;380;364;362;546;1.337
08335043;Konstanz;080;Wollmatingen;0802;31.12.2016;2.210;1.108;1.965;245;473;446;241;349;325;376;1.023
08335043;Konstanz;080;Wollmatingen;0803;31.12.2016;1.984;960;1.673;311;306;447;231;280;308;412;1.039
08335043;Konstanz;090;Industriegebiet;0901;31.12.2016;810;350;553;257;122;195;113;105;126;149;429
08335043;Konstanz;090;Industriegebiet;0902;31.12.2016;126;51;90;36;15;33;22;21;21;14;74
08335043;Konstanz;090;Industriegebiet;0903;31.12.2016;145;56;51;94;26;51;6;26;17;19;62
08335043;Konstanz;100;Egg;1001;31.12.2016;779;366;728;51;164;157;78;108;138;134;351
08335043;Konstanz;100;Egg;1002;31.12.2016;;;;;;;;;;;
08335043;Konstanz;110;Litzelstetten;1101;31.12.2016;1.737;894;1.593;144;262;273;165;232;258;547;901
08335043;Konstanz;110;Litzelstetten;1102;31.12.2016;2.062;1.070;1.865;197;243;344;194;248;351;682;1.160
08335043;Konstanz;110;Litzelstetten;1103;31.12.2016;42;16;10;32;2;8;12;9;6;5;26
08335043;Konstanz;120;Dingelsdorf;1201;31.12.2016;1.805;918;1.675;130;289;318;153;218;335;492;907
08335043;Konstanz;120;Dingelsdorf;1202;31.12.2016;332;158;279;53;48;48;37;41;63;95;163
08335043;Konstanz;130;Dettingen;1301;31.12.2016;1.608;804;1.350;258;337;206;212;200;205;448;729
08335043;Konstanz;130;Dettingen;1302;31.12.2016;1.740;914;1.622;118;271;251;175;230;293;520;869
08335043;Konstanz;140;Wallhausen;1401;31.12.2016;1.151;611;1.014;137;155;217;125;143;186;325;638
8335043;Konstanz;010;Altstadt;0101;31.12.2015;1.286;639;1.027;259;126;412;224;188;141;195;869
8335043;Konstanz;010;Altstadt;0102;31.12.2015;1.685;838;1.368;317;225;407;292;221;201;339;1.050
8335043;Konstanz;010;Altstadt;0103;31.12.2015;2.879;1.503;2.536;343;427;585;458;392;380;637;1.687
8335043;Konstanz;010;Altstadt;0104;31.12.2015;2.144;1.183;1.968;176;311;446;278;305;290;514;1.283
8335043;Konstanz;010;Altstadt;0105;31.12.2015;1.352;728;1.228;124;208;351;240;190;167;196;787
8335043;Konstanz;010;Altstadt;0106;31.12.2015;1.213;596;1.028;185;94;401;224;142;136;216;830
8335043;Konstanz;010;Altstadt;0107;31.12.2015;1.428;760;1.197;231;149;380;249;167;141;342;976
8335043;Konstanz;020;Paradies;0201;31.12.2015;2.803;1.547;2.526;277;369;476;388;410;386;774;1.669
8335043;Konstanz;020;Paradies;0202;31.12.2015;1.557;880;1.387;170;189;290;195;202;188;493;983
8335043;Konstanz;020;Paradies;0203;31.12.2015;1.155;462;737;418;37;1.034;56;19;6;3;710
8335043;Konstanz;020;Paradies;0204;31.12.2015;607;314;580;27;100;113;60;97;106;131;318
8335043;Konstanz;030;Petershausen-West;0301;31.12.2015;921;485;735;186;125;260;121;113;113;189;583
8335043;Konstanz;030;Petershausen-West;0302;31.12.2015;1.646;848;1.240;406;274;449;234;192;185;312;837
8335043;Konstanz;030;Petershausen-West;0303;31.12.2015;5.583;2.906;4.588;995;741;1.828;892;646;616;860;3.278
8335043;Konstanz;030;Petershausen-West;0304;31.12.2015;3.456;1.628;2.513;943;329;1.259;504;355;387;622;2.183
8335043;Konstanz;030;Petershausen-West;0305;31.12.2015;1.755;928;1.533;222;262;409;197;222;271;394;966
8335043;Konstanz;030;Petershausen-West;0306;31.12.2015;1.986;1.041;1.733;253;234;652;259;209;250;382;1.176
8335043;Konstanz;035;Petershausen-Ost;0351;31.12.2015;2.063;1.131;1.659;404;290;556;260;222;241;494;1.214
8335043;Konstanz;035;Petershausen-Ost;0352;31.12.2015;1.363;771;1.259;104;200;208;138;163;166;488;751
8335043;Konstanz;035;Petershausen-Ost;0353;31.12.2015;1.240;645;1.144;96;152;218;128;150;203;389;738
8335043;Konstanz;035;Petershausen-Ost;0354;31.12.2015;1.111;645;1.044;67;131;64;73;115;102;626;616
8335043;Konstanz;035;Petershausen-Ost;0355;31.12.2015;1.343;696;1.249;94;211;255;112;193;201;371;722
8335043;Konstanz;040;Königsbau;0401;31.12.2015;1.131;602;1.032;99;138;299;93;148;161;292;668
8335043;Konstanz;040;Königsbau;0402;31.12.2015;1.612;869;1.258;354;384;280;204;220;237;287;744
8335043;Konstanz;040;Königsbau;0403;31.12.2015;2.207;1.096;1.737;470;193;1.196;188;140;166;324;1.254
8335043;Konstanz;040;Königsbau;0404;31.12.2015;903;469;816;87;155;183;105;112;130;218;473
8335043;Konstanz;505;Allmannsdorf;0501;31.12.2015;1.677;895;1.545;132;264;281;137;201;268;526;885
8335043;Konstanz;050;Allmannsdorf;0502;31.12.2015;1.341;718;1.205;136;193;301;148;181;176;342;748
8335043;Konstanz;050;Allmannsdorf;0503;31.12.2015;2.297;1.205;2.045;252;284;587;227;257;361;581;1.353
8335043;Konstanz;060;Staad;0601;31.12.2015;1.018;540;943;75;126;138;83;141;153;377;583
8335043;Konstanz;060;Staad;0602;31.12.2015;779;405;709;70;121;97;89;120;96;256;425
8335043;Konstanz;070;Fürstenberg;0701;31.12.2015;4.175;2.190;3.378;797;576;1.214;521;475;531;858;2.388
8335043;Konstanz;070;Fürstenberg;0702;31.12.2015;3.163;1.624;2.820;343;382;692;371;351;448;919;1.812
8335043;Konstanz;070;Fürstenberg;0703;31.12.2015;2.077;1.087;1.815;262;310;403;232;239;273;620;1.098
8335043;Konstanz;070;Fürstenberg;0704;31.12.2015;2.607;1.367;2.055;552;347;674;341;289;335;621;1.536
8335043;Konstanz;080;Wollmatingen;0801;31.12.2015;2.643;1.399;2.234;409;569;432;370;364;354;554;1.294
8335043;Konstanz;080;Wollmatingen;0802;31.12.2015;2.191;1.108;1.930;261;485;426;258;358;303;361;1.013
8335043;Konstanz;080;Wollmatingen;0803;31.12.2015;1.849;961;1.662;187;314;345;204;300;278;408;958
8335043;Konstanz;090;Industriegebiet;0901;31.12.2015;821;353;561;260;122;172;122;144;119;142;439
8335043;Konstanz;090;Industriegebiet;0902;31.12.2015;136;59;102;34;20;36;26;17;23;14;76
8335043;Konstanz;090;Industriegebiet;0903;31.12.2015;67;23;53;14;1;14;5;14;16;17;45
8335043;Konstanz;100;Egg;1001;31.12.2015;757;368;709;48;168;130;85;123;119;132;332
8335043;Konstanz;100;Egg;1002;31.12.2015;;;;;;;;;;;
8335043;Konstanz;110;Litzelstetten;1101;31.12.2015;1.723;900;1.598;125;253;254;161;268;225;562;907
8335043;Konstanz;110;Litzelstetten;1102;31.12.2015;2.056;1.063;1.865;191;236;354;183;265;343;675;1.161
8335043;Konstanz;110;Litzelstetten;1103;31.12.2015;40;16;12;28;1;14;6;8;7;4;28
8335043;Konstanz;120;Dingelsdorf;1201;31.12.2015;1.808;930;1.686;122;301;303;174;232;318;480;901
